,Bus_cost,Bus_travel_time,Bus_Comfort,Bus_CO2,metro_cost,metro_travel_time,metro_Comfort,metro_CO2,RH_cost,RH_travel_time,RH_Comfort,RH_CO2
1604,3,20,3,10,12,15,1,10,20,15,1,5
3408,8,10,1,2,5,20,1,2,7,15,1,10
2288,3,10,1,5,12,15,1,2,15,25,1,5
2124,8,20,1,10,5,10,5,10,7,10,5,10
3713,15,20,3,5,5,10,5,5,20,25,1,10
1735,15,20,1,2,8,15,1,2,7,10,3,10
2394,15,30,3,10,8,10,3,5,15,10,5,5
1048,15,20,1,2,8,10,5,2,7,10,1,10
400,15,10,1,2,8,10,5,2,7,15,5,10
4309,15,10,1,2,12,10,3,5,20,25,5,5
3613,8,20,1,2,5,20,1,2,15,10,5,5
4142,15,30,3,2,12,20,5,10,7,15,1,2
619,8,30,1,5,5,15,5,5,20,15,3,5
3077,3,30,5,5,8,10,1,10,7,25,1,10
3585,3,10,1,5,12,15,1,10,15,10,3,2
4760,15,20,3,5,5,10,5,10,15,15,5,10
4163,8,10,5,5,8,10,5,2,15,15,1,5
1949,3,20,3,10,5,20,1,10,15,10,1,10
1836,15,30,1,5,12,15,1,10,15,15,1,5
3442,3,10,3,5,8,10,3,2,20,25,1,2
905,15,10,3,2,8,15,1,5,7,10,5,2
4140,15,20,1,10,5,15,3,2,15,25,3,5
434,8,30,3,2,5,10,5,5,20,25,3,2
2403,3,10,1,2,5,10,5,10,15,25,3,5
1383,15,20,5,2,8,20,1,10,7,15,1,10
4845,8,30,5,2,5,15,3,10,20,25,5,5
4867,15,10,3,2,12,10,1,10,20,25,3,5
2092,8,10,1,2,8,10,5,2,15,10,5,2
1750,15,10,1,2,8,15,5,10,15,10,1,10
4169,3,20,1,2,8,10,3,5,7,25,5,2
2639,3,10,3,2,5,20,3,2,7,15,1,2
4857,3,20,3,5,5,20,3,2,15,10,5,2
659,15,20,1,5,5,20,5,2,15,10,1,2
2744,3,10,1,10,12,20,3,5,20,10,3,5
4454,15,20,1,10,5,20,5,10,7,15,3,10
1200,8,30,1,10,12,10,3,5,7,10,3,10
281,15,10,5,2,5,15,5,10,15,10,5,2
4367,8,30,5,2,5,20,1,2,15,15,3,5
656,8,30,5,2,12,15,1,2,20,25,5,10
1215,15,10,1,10,5,20,1,2,7,10,5,2
4634,8,10,5,2,5,20,5,2,15,10,5,5
1877,8,30,3,10,12,20,5,5,15,25,1,10
839,15,30,1,2,12,15,5,2,20,10,1,10
1665,3,30,1,2,5,15,3,2,20,25,1,10
1954,8,20,5,10,12,10,1,2,20,15,1,2
4866,15,10,5,2,5,15,3,5,15,10,1,10
4257,3,30,5,5,12,15,5,2,7,25,5,10
2145,8,10,3,2,5,15,1,2,15,10,5,5
3584,15,20,5,10,5,10,1,2,7,10,1,2
1392,15,10,1,2,5,10,3,10,20,15,5,10
1062,8,20,5,2,5,20,3,10,7,25,1,5
1824,8,10,5,2,12,10,1,5,20,10,5,10
3521,8,30,3,10,12,20,1,10,20,15,1,10
4698,3,30,3,2,5,10,5,2,7,15,5,10
484,15,20,3,10,12,15,3,5,20,25,3,2
3727,3,30,1,5,8,15,1,2,7,15,3,10
3170,3,20,3,2,8,20,3,2,20,10,5,2
2712,3,20,3,5,12,20,5,5,7,25,1,10
2881,15,20,5,10,5,20,5,5,20,10,1,5
472,15,10,1,2,12,20,3,10,15,10,5,2
481,3,30,3,2,12,10,1,10,7,10,5,10
4498,8,20,1,10,8,15,5,2,15,10,5,5
4255,3,10,3,5,12,20,3,5,7,10,3,5
3379,8,30,1,2,5,15,3,5,7,25,1,5
690,15,10,3,5,5,10,1,10,15,15,1,5
3549,15,10,1,10,12,15,3,2,7,15,1,5
1204,15,30,1,2,12,10,1,5,15,15,3,2
2812,3,10,1,5,12,15,1,5,7,15,5,10
304,8,20,1,5,5,20,3,5,15,10,1,10
3185,8,20,3,2,5,15,3,2,20,10,1,5
4848,15,30,3,2,5,15,1,5,15,25,1,2
4501,15,30,3,10,12,15,5,2,20,15,5,10
4666,8,20,3,2,5,15,1,5,7,25,1,10
343,8,20,5,2,12,20,1,5,15,10,3,5
55,8,10,1,2,12,15,5,2,7,25,1,2
1142,3,10,3,5,12,20,3,5,15,10,1,2
374,15,20,3,2,12,20,5,5,20,25,5,10
2234,15,10,3,2,12,20,1,2,20,25,5,5
2711,3,20,5,5,8,20,3,5,20,25,5,10
3665,15,20,5,10,5,20,5,5,7,15,3,10
222,3,30,1,5,8,10,3,10,15,25,3,5
3241,8,20,5,10,5,20,1,10,15,10,1,5
3037,3,30,1,2,12,20,5,10,7,15,5,5
2091,15,10,3,10,8,10,3,2,20,10,5,2
4004,15,10,5,10,8,20,3,10,20,15,3,10
2538,8,20,5,5,12,15,3,10,20,15,3,5
1418,8,20,5,2,5,10,5,5,15,15,1,5
4671,8,20,3,5,5,15,5,5,15,25,5,10
121,8,10,3,2,8,10,5,5,7,10,5,5
188,8,30,1,5,8,20,1,2,7,15,5,2
4145,8,30,3,10,8,15,3,10,7,15,5,10
4275,8,30,5,5,12,15,1,10,7,25,5,10
1881,15,20,5,10,5,15,1,2,7,15,3,10
2531,15,30,1,10,5,20,1,5,20,15,5,2
3659,15,20,1,2,8,10,1,10,7,15,3,10
2878,8,20,3,5,8,20,3,5,15,15,3,5
1321,3,10,1,2,8,20,3,2,15,10,3,2
1016,8,10,1,2,8,10,5,2,15,15,3,10
2835,15,30,3,10,5,10,1,10,15,10,5,10
3139,3,10,5,10,12,20,3,2,15,10,3,10
1579,8,30,1,2,12,10,5,2,20,15,5,5
4888,15,30,3,2,5,20,5,2,20,15,3,10
1963,15,30,3,10,8,20,3,2,20,10,5,5
1615,3,30,1,2,8,10,5,5,15,10,1,10
2296,15,10,1,10,5,20,5,5,15,15,3,5
108,3,30,1,2,5,20,3,2,20,10,5,2
422,15,20,1,5,5,10,5,5,15,25,3,5
989,15,30,5,10,8,15,5,10,20,25,5,2
2464,3,30,5,5,5,10,1,10,15,15,1,10
1643,3,20,5,10,5,15,1,10,7,25,1,2
4944,3,30,5,5,5,10,5,10,15,25,5,2
2267,3,30,1,10,12,15,1,2,20,15,5,2
2745,8,10,5,5,5,15,5,5,20,15,3,10
2562,8,30,5,10,12,20,1,5,20,25,1,2
1899,15,30,1,5,5,20,1,10,15,10,3,10
1852,15,30,5,10,8,20,3,2,20,10,3,10
1921,8,20,3,2,12,20,5,5,15,10,1,10
2064,8,30,5,10,5,20,5,2,20,10,3,10
586,8,30,3,5,8,15,1,10,15,10,1,5
1936,3,30,1,5,5,10,5,10,15,10,5,2
1265,8,20,3,2,5,20,1,5,15,10,1,2
369,3,30,5,5,12,20,5,5,15,25,5,10
4766,15,10,5,5,12,20,3,10,20,10,3,5
1040,3,20,5,2,8,15,5,10,20,10,3,2
3468,15,10,1,2,12,15,3,5,15,15,5,10
1605,3,20,5,10,8,15,1,5,7,25,5,5
1567,15,10,1,2,12,15,1,2,15,25,3,5
384,15,20,1,2,12,10,1,5,15,15,3,5
4464,15,20,3,2,8,20,1,10,7,15,1,10
2143,15,10,1,10,5,15,5,5,15,15,5,10
946,3,30,3,5,12,10,3,5,7,25,5,5
276,15,10,3,5,8,20,1,2,7,10,5,10
2814,15,20,5,10,5,15,3,10,20,10,1,5
4637,3,10,5,5,12,15,3,10,7,10,3,2
3916,8,30,1,2,8,20,1,5,15,15,5,2
1990,15,20,5,2,5,10,3,2,7,10,3,5
1058,15,10,5,10,8,15,1,10,20,25,5,10
3826,8,30,1,2,5,10,3,10,15,25,5,5
2044,15,20,3,10,8,10,1,10,7,15,3,10
4525,15,30,1,2,8,20,3,2,15,25,5,5
4755,3,20,5,2,8,20,1,2,7,10,5,5
335,15,10,1,10,12,10,1,10,7,15,5,2
3928,8,10,3,10,5,10,1,2,20,15,1,2
3677,3,30,1,5,8,10,1,10,15,25,5,5
4652,8,30,5,10,12,15,5,10,20,15,1,10
3147,15,30,5,2,5,15,1,5,7,25,5,2
1061,3,20,1,10,12,15,3,10,7,25,1,2
103,15,10,5,10,8,10,5,10,15,10,5,5
632,3,30,3,2,5,20,5,5,20,10,1,10
4446,15,20,1,5,5,20,3,10,15,15,1,5
3420,8,10,5,2,5,10,1,10,15,15,1,10
3159,8,20,1,2,5,10,5,10,7,25,3,2
4080,8,10,1,5,12,10,1,10,20,15,1,5
1496,15,10,3,10,5,10,3,5,7,25,1,2
4881,15,10,3,2,5,20,5,5,7,10,5,10
929,15,10,5,2,5,20,5,2,15,15,5,10
3633,8,10,1,2,8,10,1,10,7,25,5,10
465,3,20,5,10,12,15,5,2,15,15,3,10
110,15,20,5,5,5,20,3,5,15,15,5,10
3219,15,10,3,2,5,15,3,2,20,10,3,10
1258,3,30,5,5,8,15,3,5,7,15,5,2
2740,3,10,5,10,12,20,1,5,15,15,3,5
4510,8,10,3,2,5,10,1,10,15,15,1,5
3001,8,20,5,2,5,20,3,2,15,10,3,10
2238,8,10,5,10,12,10,3,5,20,25,3,5
2827,3,20,5,2,5,15,3,2,20,10,3,10
609,15,20,3,10,12,10,3,5,20,15,5,5
4751,3,20,5,2,12,15,3,10,15,15,1,2
2697,3,30,3,5,5,15,5,2,15,15,5,5
2194,15,20,1,2,8,10,5,10,15,15,5,10
2156,15,30,3,5,12,15,1,2,7,10,5,5
1119,3,30,5,5,12,10,1,2,20,25,1,2
2549,3,20,3,10,8,15,3,2,7,15,5,2
3203,15,20,3,2,5,20,3,2,20,25,5,2
3909,3,10,5,10,8,15,3,5,15,10,5,5
2995,3,20,3,10,8,20,3,10,20,25,3,2
4177,8,10,5,10,8,10,3,10,7,15,5,5
4480,3,30,1,5,12,10,5,5,15,25,3,10
3239,15,30,5,10,8,10,3,10,7,10,5,2
2628,8,30,1,5,12,15,1,2,20,25,1,10
3175,15,20,5,5,5,10,3,5,7,10,3,5
1252,8,10,5,2,8,20,3,2,20,25,1,5
2385,15,20,5,2,12,20,1,5,15,10,1,10
1788,8,20,5,10,12,20,3,10,15,10,1,10
3672,15,20,1,2,8,10,5,2,7,10,5,2
1159,3,30,5,5,8,15,3,10,7,25,1,2
2299,3,10,5,5,12,15,3,2,15,10,5,2
802,8,30,1,10,8,20,3,5,15,10,1,5
4886,15,10,3,10,5,10,5,2,15,15,3,5
2123,15,10,1,10,8,15,1,5,7,10,5,2
4042,3,10,1,2,5,15,3,2,20,25,3,2
1316,8,10,1,10,5,10,5,10,20,10,1,2
4105,8,20,3,5,5,15,5,2,15,10,5,5
17,15,30,3,5,12,15,3,10,20,10,1,5
196,15,20,5,5,5,10,3,5,15,10,1,2
3398,3,30,1,2,5,15,1,2,15,15,1,5
396,15,30,3,10,5,15,1,10,20,15,1,10
558,15,30,3,10,12,10,3,10,20,25,1,10
1465,15,10,1,5,12,15,3,10,15,25,5,10
814,8,30,5,2,12,15,3,5,20,10,1,2
4780,3,10,1,5,12,20,3,5,20,15,3,5
1752,15,10,3,2,12,10,5,2,15,15,5,5
3068,8,20,5,2,5,20,5,10,20,15,3,10
1431,8,10,3,5,8,20,5,5,15,10,3,2
1866,3,30,3,5,12,10,5,10,20,25,3,5
4967,3,10,3,10,8,20,5,10,20,25,3,10
3504,8,10,1,2,8,10,5,2,7,15,3,5
1566,3,10,5,10,12,15,5,5,20,10,3,5
230,3,30,3,5,8,20,3,10,7,10,5,5
328,8,20,5,2,5,20,1,10,15,25,1,5
4373,15,10,5,2,12,10,3,2,15,10,3,2
2714,8,10,1,10,8,20,3,2,20,10,5,2
3410,8,20,3,5,8,20,3,10,7,25,1,2
2089,8,10,3,10,8,20,5,10,7,15,5,5
4844,15,10,5,5,8,20,1,10,15,10,5,5
1820,3,20,5,10,8,20,3,5,7,10,3,2
364,3,30,5,2,5,20,5,5,20,15,5,5
3944,8,10,3,2,12,15,1,5,20,15,5,10
3857,3,10,3,10,12,15,1,5,7,25,3,10
4758,3,20,5,2,8,20,5,10,15,25,5,2
1069,15,10,1,5,8,15,3,5,20,15,5,2
1628,15,10,5,2,8,15,5,10,7,15,3,2
4810,8,10,5,5,5,10,3,2,20,25,1,5
2655,15,20,1,10,12,20,1,5,20,10,3,10
1084,3,10,3,10,5,15,3,5,20,25,3,5
4388,8,20,1,2,12,10,5,2,7,10,3,2
2633,8,10,3,10,12,15,1,2,20,10,1,5
1505,8,30,3,5,5,15,5,5,15,25,5,10
2406,15,20,3,2,5,10,5,5,20,10,1,5
3586,8,30,5,2,8,20,5,2,7,25,3,10
1211,15,10,5,10,8,15,5,10,7,25,5,2
1072,3,20,5,2,8,15,3,2,20,10,3,5
4897,8,30,3,2,8,10,3,5,7,25,5,10
600,8,30,5,2,5,10,3,2,20,25,5,2
3372,3,10,1,5,12,20,1,5,15,10,1,10
630,8,30,3,10,5,20,5,10,7,15,1,10
1251,8,20,1,2,8,15,5,5,7,25,5,10
587,15,30,3,5,5,20,3,10,15,25,5,2
3553,3,10,3,2,12,15,5,2,15,10,1,2
252,15,10,3,5,12,20,3,10,20,25,3,10
1382,15,10,1,5,8,15,3,2,20,15,3,2
174,15,30,1,10,8,10,3,10,7,10,1,10
3181,3,10,3,2,5,10,5,2,20,10,1,2
1023,3,10,5,10,8,20,3,2,15,25,3,5
3280,8,10,5,2,12,10,3,2,15,15,3,5
1763,15,10,3,5,12,15,5,10,20,25,1,2
25,15,30,1,5,12,15,1,10,7,10,1,2
4612,8,30,3,2,5,20,5,2,15,10,1,2
2448,8,20,1,5,8,15,5,10,15,25,5,10
141,8,20,3,2,8,20,5,5,7,15,3,2
4471,3,30,3,10,12,20,1,5,15,15,3,2
1532,15,10,5,2,12,20,5,2,15,10,1,5
2045,3,30,5,10,12,10,1,2,20,25,5,5
2880,8,10,1,5,8,10,1,2,15,15,1,10
1980,15,20,1,5,5,15,3,5,15,15,5,10
3257,8,20,3,5,12,10,3,2,15,15,1,5
1029,8,30,3,5,5,10,5,2,7,10,3,10
521,8,20,5,10,8,20,3,10,20,10,1,10
2199,8,10,1,10,8,15,5,5,7,15,3,2
821,8,20,3,10,12,15,5,10,15,10,1,5
1423,3,10,1,10,5,15,3,2,20,15,5,5
4474,8,30,1,2,8,10,1,2,20,25,5,2
3274,8,20,3,2,5,20,1,10,7,10,5,5
2996,3,30,3,2,8,10,5,10,20,10,1,5
1901,3,10,5,2,8,10,3,5,20,10,1,2
377,15,10,1,5,5,20,3,2,7,10,1,10
1094,3,10,3,10,12,10,1,10,15,25,5,10
1585,3,10,5,10,5,20,1,10,7,15,3,10
3423,15,20,5,2,5,10,3,2,7,15,5,2
4794,15,30,3,5,5,20,1,2,7,15,1,2
1451,15,30,3,10,8,15,1,10,7,10,5,5
1821,8,30,3,2,8,15,5,2,15,15,5,10
1202,15,30,1,2,8,10,3,2,20,25,5,10
414,15,20,3,5,12,20,1,10,20,10,3,5
4579,8,10,3,2,8,15,5,2,20,25,5,10
1801,3,20,3,2,12,10,3,5,20,25,3,5
4107,15,10,1,5,8,15,5,5,7,10,3,2
4414,3,10,3,5,12,15,5,10,20,25,3,5
317,8,20,3,5,8,15,5,10,7,15,1,5
3820,3,10,5,5,12,20,3,5,15,15,1,2
4445,3,20,1,5,5,10,1,10,7,15,1,2
869,15,10,1,10,12,10,3,5,20,25,3,10
1576,3,10,5,10,5,20,1,5,7,25,1,5
2552,3,30,1,2,12,20,3,10,20,10,3,5
1661,15,10,1,10,5,15,3,2,20,10,5,10
1070,8,20,1,5,12,15,5,2,20,25,3,10
593,8,20,3,10,5,20,1,5,7,25,1,10
3096,8,20,5,5,5,20,3,10,15,10,1,2
1476,3,10,1,2,8,15,1,10,7,10,1,10
1972,15,20,1,5,8,15,1,10,15,25,5,5
4040,3,10,5,5,8,20,1,2,15,10,1,10
813,8,10,5,2,8,10,1,5,20,25,1,10
3006,8,20,5,2,5,10,3,2,20,25,1,10
4996,8,30,3,10,5,15,3,10,20,25,1,10
4220,3,10,5,5,8,20,3,10,20,10,5,10
764,8,20,1,5,5,20,3,5,7,15,1,10
4925,8,10,5,2,5,10,5,10,7,25,3,2
2249,8,30,3,5,5,15,1,5,7,15,5,10
2457,15,30,3,5,8,10,3,10,20,10,5,5
3053,8,30,3,2,8,20,1,2,20,10,5,10
2274,3,20,1,5,5,15,3,2,20,15,5,5
3457,8,20,1,2,8,10,3,5,7,25,1,10
1799,3,30,1,2,12,20,3,5,20,15,5,5
2103,3,20,1,2,5,20,3,10,20,10,3,10
2216,8,30,1,10,5,20,3,10,20,15,5,2
479,15,30,3,10,5,10,3,5,7,25,1,5
2426,15,20,1,5,8,10,1,10,7,15,3,2
3326,3,20,3,2,12,10,1,5,15,25,3,10
4562,15,30,5,5,5,20,1,2,15,15,1,10
1015,3,30,3,10,5,20,1,10,20,10,3,2
3218,3,30,1,10,5,15,5,5,20,15,1,5
1210,15,20,5,2,12,20,5,10,7,10,5,2
4599,8,10,5,2,8,10,3,10,7,10,1,2
857,3,30,1,2,8,15,5,10,20,25,3,2
2645,8,30,3,2,12,15,3,5,7,15,5,5
1956,8,10,1,10,8,20,5,2,20,10,5,2
967,15,30,5,5,8,15,3,10,7,10,1,10
2640,3,30,3,5,12,10,3,10,7,25,5,2
1981,15,10,5,5,8,15,5,10,15,10,5,5
1706,8,20,3,5,5,20,3,10,20,10,5,5
166,8,30,1,5,5,15,5,10,15,10,1,5
27,15,10,3,10,12,15,5,10,20,15,1,5
2136,3,30,5,5,5,15,1,10,7,15,5,10
1449,8,10,3,2,12,10,3,5,15,15,1,5
2635,8,10,1,5,8,15,3,10,7,10,1,2
2865,8,10,5,5,12,20,1,10,20,25,3,10
552,3,20,5,2,5,20,3,2,7,10,3,10
4170,3,10,3,2,8,15,3,5,20,25,1,2
4605,15,30,3,2,12,10,1,5,20,15,5,5
2202,8,30,3,2,12,10,1,5,20,10,5,10
1154,8,10,3,10,8,15,5,10,7,25,1,10
4983,15,30,3,10,8,15,3,10,15,10,1,5
4699,15,20,3,2,12,10,1,2,20,25,3,5
38,8,10,5,5,12,20,1,2,20,25,5,2
3313,3,20,1,2,5,15,3,5,7,15,3,10
2753,15,10,1,2,8,15,1,10,20,10,3,10
3673,8,10,3,5,5,15,1,5,7,25,3,5
3749,3,30,5,10,8,20,3,5,15,15,1,2
3762,3,30,1,5,5,10,1,10,7,15,1,2
2682,8,30,3,10,5,20,3,2,7,10,5,10
4018,3,30,3,5,5,15,1,10,15,25,5,10
2778,3,10,1,10,12,10,3,10,15,15,1,5
2694,3,30,1,5,5,20,3,2,20,15,5,2
2388,3,30,3,10,12,15,5,5,15,25,1,10
4318,8,10,1,5,12,20,5,2,7,25,3,5
3757,3,20,5,5,5,15,3,10,15,25,5,2
4859,3,30,3,5,5,10,1,10,15,15,3,10
2396,15,10,1,10,8,20,1,2,15,25,5,10
3993,3,20,3,5,12,20,1,5,15,10,5,10
4299,8,30,1,2,8,15,5,10,20,10,3,10
794,8,30,5,5,5,15,3,10,7,10,3,5
2652,15,10,3,5,5,20,3,5,20,15,5,5
1488,8,20,5,2,5,15,1,10,7,15,1,5
1373,3,20,1,2,5,15,5,10,7,15,3,2
2059,3,30,5,5,5,10,1,10,15,25,1,5
1645,8,20,5,2,5,20,3,2,15,10,1,10
2297,8,10,1,2,12,20,3,2,15,15,1,5
2352,3,20,5,5,12,10,3,5,7,15,3,5
3460,3,20,3,5,8,10,1,5,20,10,3,2
2292,3,20,3,2,8,10,1,2,15,25,1,2
2901,15,30,1,5,12,20,1,2,7,15,1,5
10,8,10,5,10,12,10,3,10,15,10,5,10
3050,15,10,1,5,12,10,3,10,7,25,3,5
2705,3,30,1,5,8,10,3,10,20,10,3,2
965,3,30,3,5,8,10,3,2,7,15,5,2
3455,8,10,5,2,12,10,1,2,15,10,3,2
4965,8,30,1,5,5,10,5,2,15,10,3,10
2438,15,30,1,5,5,15,3,5,7,10,1,5
4784,15,10,5,2,12,20,3,2,7,25,3,2
3116,3,20,1,5,12,10,5,2,7,10,1,5
4338,15,30,3,10,8,20,3,10,15,25,5,5
2191,15,20,3,2,5,20,5,2,7,10,3,10
4030,15,30,3,10,5,20,1,10,15,10,3,2
4123,15,10,1,10,8,20,5,5,7,15,1,5
3974,8,30,1,2,5,10,3,5,15,15,3,2
1130,8,10,5,2,5,10,3,10,15,10,3,5
1606,3,20,3,5,8,10,5,2,15,25,1,2
4613,8,20,5,10,5,15,5,5,7,10,5,10
1902,15,20,1,10,5,15,3,2,15,25,1,10
2183,8,10,3,10,5,15,3,5,20,10,5,10
3921,3,20,1,10,12,10,1,10,15,10,5,10
4716,8,20,1,2,5,15,1,5,7,10,5,10
3558,3,10,3,5,8,15,3,5,15,25,3,10
2600,3,10,5,10,12,15,5,10,7,25,5,10
4673,3,30,3,2,8,20,3,5,7,15,1,5
542,8,10,3,5,12,20,5,2,7,10,3,2
4458,8,30,1,2,5,15,1,2,20,25,5,5
3905,15,30,1,10,8,15,1,10,15,25,1,10
4610,3,10,3,10,5,15,3,2,20,15,1,10
7,15,10,1,10,5,10,1,5,15,25,1,10
4885,3,10,5,5,8,15,3,5,20,25,1,2
767,15,10,5,5,8,15,1,10,7,10,5,5
3449,8,20,3,10,5,20,3,10,7,15,5,5
4005,3,30,5,5,8,10,3,5,7,25,3,10
1193,8,10,5,10,8,10,3,10,15,15,3,2
3856,8,10,1,10,8,10,5,2,20,25,5,5
1865,15,30,5,10,5,15,1,2,20,25,3,2
3922,3,10,3,10,5,15,1,10,20,10,1,5
3047,8,30,3,10,5,20,5,5,15,10,1,2
947,3,20,5,5,5,10,3,10,20,15,5,2
4205,8,20,3,10,12,20,1,10,15,15,5,5
799,8,30,1,2,8,10,3,5,20,10,3,2
4288,15,10,5,10,12,10,5,2,7,25,1,2
2611,15,10,3,5,12,10,5,2,7,10,5,2
1398,15,30,3,10,5,10,1,5,7,25,3,2
4629,3,30,5,5,5,10,3,5,20,15,5,5
413,8,20,3,5,5,20,3,5,7,10,3,5
1610,8,10,1,5,8,10,3,10,20,10,1,5
375,15,30,1,2,5,10,1,10,7,25,1,2
4644,15,30,3,5,12,20,5,10,15,25,5,2
2998,8,30,5,2,8,20,3,2,20,15,3,5
3518,3,30,5,2,12,20,1,2,15,15,3,5
159,3,20,1,2,12,20,1,2,15,25,3,5
2431,8,10,1,2,5,20,3,5,15,25,1,2
3784,15,30,5,2,12,15,3,10,7,10,1,2
3125,8,30,5,2,8,15,1,2,20,15,5,5
1263,8,20,3,10,12,20,1,5,15,10,1,5
3092,15,10,5,5,8,10,5,5,20,25,3,5
3686,8,30,1,2,5,15,5,2,15,10,3,2
467,8,10,1,2,12,15,3,2,20,25,5,10
1291,3,20,1,2,12,15,5,10,15,10,5,2
1376,8,10,3,2,12,10,1,5,15,25,5,5
3367,3,30,3,5,8,20,1,10,20,15,3,5
1622,15,10,1,10,8,10,1,5,15,25,3,2
3148,8,10,3,5,8,10,1,5,20,15,5,5
2101,3,10,3,5,12,20,1,10,20,15,3,10
4289,8,10,3,10,12,15,5,2,15,25,3,10
4350,8,30,3,5,8,20,3,2,20,10,1,10
1379,15,20,1,2,12,20,1,2,20,15,5,5
1596,8,10,1,10,12,20,3,5,20,10,5,10
3344,3,10,1,10,5,20,3,10,20,25,3,2
2879,8,20,1,2,12,15,5,5,20,15,5,10
333,8,10,3,2,8,15,3,10,20,15,3,10
3089,8,20,3,5,8,20,3,10,20,25,1,10
3513,3,20,5,5,8,10,5,5,7,15,1,5
1728,8,20,1,10,5,15,1,10,7,15,5,2
2904,3,10,3,10,12,10,5,10,7,25,3,2
4114,3,20,5,5,8,10,5,2,15,25,1,2
902,8,10,1,5,5,20,3,5,15,25,1,5
3560,15,20,3,5,8,20,1,10,15,25,5,5
2703,8,30,1,10,8,10,3,10,15,15,1,2
243,8,10,3,10,12,15,3,5,20,15,3,2
675,3,10,1,2,8,20,5,5,20,15,3,10
4548,3,10,5,2,5,10,1,2,15,25,1,5
4321,8,10,1,10,12,10,1,5,7,25,5,10
1834,3,30,1,5,5,20,3,5,20,10,3,10
2629,8,10,3,5,8,10,3,10,20,10,1,10
1104,3,10,5,5,8,15,1,5,15,10,5,10
1338,8,10,5,5,5,20,1,2,15,10,1,5
270,15,10,1,2,5,20,1,5,7,15,3,10
1731,8,30,1,2,8,15,3,2,20,15,5,10
3962,8,30,5,10,5,15,3,10,15,10,3,10
469,3,20,5,5,12,10,5,10,15,10,5,5
4908,15,20,5,5,12,15,5,2,7,25,5,10
2847,8,10,1,5,8,15,5,10,15,15,1,5
1380,15,20,1,5,12,10,5,5,20,10,1,2
3913,15,10,5,2,5,10,1,10,15,10,1,10
1595,8,30,1,10,12,10,5,5,20,15,3,2
249,15,30,3,5,5,10,1,5,15,10,1,5
3755,15,20,1,10,12,15,3,2,20,15,5,10
2167,3,20,1,5,12,15,3,2,7,15,1,2
4669,8,20,3,2,8,20,3,5,20,15,5,2
873,8,20,5,2,12,20,1,5,15,10,5,2
1498,3,30,3,5,8,10,5,10,15,25,5,10
629,15,30,5,10,5,15,1,5,7,25,5,2
4326,8,20,3,5,12,15,1,2,20,25,5,10
2317,3,30,1,10,12,20,1,10,20,25,3,5
1075,3,20,3,10,12,15,3,10,7,10,3,10
2818,3,20,1,2,8,10,1,10,7,10,5,10
3189,3,30,1,5,5,20,5,2,20,25,1,5
1491,15,30,5,5,12,15,3,5,20,15,1,2
3364,15,30,5,10,12,10,3,5,7,10,5,10
2511,8,20,3,2,8,15,5,2,20,10,5,10
2718,15,20,3,2,12,10,5,10,7,15,1,2
3481,3,10,1,10,12,10,3,2,20,10,3,2
2903,15,20,3,5,12,20,3,2,15,25,5,5
3745,8,20,1,5,12,10,1,2,20,10,5,10
815,8,10,5,5,5,20,1,2,15,10,3,2
1653,15,30,1,2,8,15,3,5,20,10,1,2
3358,15,20,3,2,12,10,5,5,20,15,5,10
2613,3,20,1,10,8,10,3,10,20,15,3,10
1888,3,30,1,2,8,20,1,5,15,15,1,5
4791,3,30,1,10,8,10,5,10,20,10,5,2
2378,15,10,5,10,12,15,3,2,7,10,5,5
4125,8,30,1,2,5,15,3,5,15,25,3,5
2130,15,20,5,10,5,10,5,10,15,10,3,10
3539,8,20,1,10,5,15,1,10,7,10,1,10
4237,8,20,3,5,12,10,1,2,7,10,1,10
3368,8,10,5,5,8,15,5,10,7,10,3,2
190,15,30,5,5,8,20,3,2,7,15,3,2
2470,3,10,5,5,5,20,1,2,20,15,1,10
1,8,30,1,5,5,15,1,2,7,10,5,5
3646,15,10,5,5,12,20,3,2,15,25,5,10
3718,3,20,3,5,8,15,1,10,7,10,5,5
300,3,10,5,5,8,10,1,5,20,15,3,2
2241,3,10,3,10,8,10,1,10,7,15,3,10
4475,8,20,3,5,12,15,5,2,7,10,1,5
3415,15,20,1,2,5,10,5,10,15,10,5,2
2944,8,30,5,10,5,20,3,10,20,15,5,2
4298,3,20,1,5,12,15,1,10,15,15,5,10
4147,3,10,3,10,12,10,5,2,15,25,5,10
4895,3,20,3,10,12,20,1,10,7,10,5,10
1453,8,30,5,10,5,15,3,5,20,15,3,2
4540,15,30,5,10,5,20,1,10,15,10,5,5
4489,15,30,5,5,12,10,1,5,7,25,3,5
527,15,20,5,5,12,10,3,5,7,15,5,5
1518,15,10,1,2,5,15,3,2,15,25,3,2
2422,8,10,1,5,8,10,3,10,15,10,5,10
1614,15,10,5,10,12,15,5,5,20,10,1,10
1999,8,30,3,10,12,10,1,5,20,15,1,10
1808,8,30,3,2,5,20,3,10,20,10,5,2
3090,15,20,3,5,8,10,3,2,15,10,5,5
2604,3,30,5,10,5,15,5,2,15,25,1,2
2960,8,20,5,2,8,15,5,5,15,25,5,5
757,8,30,1,5,5,15,5,10,15,25,5,5
2857,8,30,3,2,5,10,5,10,7,10,5,5
3378,3,10,3,2,12,15,5,2,7,10,1,5
456,15,20,1,5,12,20,1,10,15,25,5,10
