,CS,Bus_cost,Bus_travel_time,Bus_Comfort,Bus_CO2,Metro_cost,Metro_travel_time,Metro_Comfort,Metro_CO2,RH_cost,RH_travel_time,RH_Comfort,RH_CO2,Plane_cost,Plane_travel_time,Plane_Comfort,Plane_CO2
5819,5820,3,20,3,10,8,10,1,10,20,10,1,10,15,30,5,2
5790,5791,15,30,5,10,12,15,1,5,15,10,1,2,7,10,3,5
5423,5424,15,10,3,5,5,20,3,10,20,25,5,10,7,20,3,5
4772,4773,3,30,5,5,8,10,3,5,20,15,1,10,15,30,3,2
3755,3756,3,10,3,10,5,20,3,10,7,10,1,5,15,20,5,2
249,250,15,10,1,10,5,20,1,5,20,15,1,10,15,20,5,2
2423,2424,3,20,3,5,8,20,1,5,20,15,5,5,20,10,1,5
3157,3158,3,30,3,5,5,10,3,5,20,15,5,5,15,20,1,2
1369,1370,15,10,1,2,8,10,3,5,7,25,3,5,20,20,1,5
7000,7001,3,20,3,5,8,10,5,2,15,15,3,5,7,20,5,5
1273,1274,8,20,3,10,5,15,5,10,15,10,3,2,20,30,5,5
3454,3455,15,20,5,10,12,20,1,2,20,15,3,10,7,20,3,10
3252,3253,3,10,1,2,5,15,3,2,15,15,3,5,15,20,5,2
1080,1081,8,10,3,2,8,15,1,5,20,15,5,5,20,20,1,10
5321,5322,15,20,3,5,8,15,3,2,7,15,1,10,20,10,3,5
3862,3863,3,10,1,2,8,20,5,10,7,15,3,2,20,10,5,2
5098,5099,8,10,5,2,12,10,1,10,15,25,5,10,7,30,3,5
2249,2250,15,10,5,5,12,10,1,2,15,25,5,5,20,10,1,10
5420,5421,3,10,3,5,5,20,5,2,15,10,1,2,15,30,5,10
893,894,15,20,1,2,5,15,5,10,7,25,1,2,7,20,5,10
7567,7568,3,20,1,10,8,10,5,10,20,10,3,10,7,10,5,2
1431,1432,8,10,5,2,5,10,1,2,15,15,1,2,15,30,3,10
907,908,3,20,5,5,8,15,1,10,15,15,5,10,15,20,5,10
3245,3246,15,10,5,5,12,10,1,5,7,25,3,10,7,20,5,5
6762,6763,3,10,5,5,5,20,3,5,7,15,3,5,20,10,5,5
5351,5352,15,10,5,2,12,10,1,5,15,15,1,10,15,30,1,10
3937,3938,15,30,1,5,5,10,1,2,20,25,3,10,15,10,1,5
3354,3355,8,30,5,10,8,15,1,10,20,10,1,10,7,20,3,10
4762,4763,3,20,5,5,5,15,3,5,15,15,1,2,15,10,1,10
3981,3982,8,20,5,2,8,20,5,10,20,25,1,10,7,30,1,10
4336,4337,8,10,5,2,5,20,3,10,15,10,3,10,20,20,3,10
790,791,8,10,5,5,8,20,5,10,7,25,3,10,20,10,1,5
2224,2225,15,10,3,10,12,10,5,5,20,15,5,2,20,10,1,5
7274,7275,15,20,3,10,5,15,1,2,7,10,1,2,15,30,5,5
6658,6659,8,30,5,2,5,15,1,2,15,10,5,10,15,30,5,2
517,518,8,30,1,10,12,15,1,5,15,15,5,5,20,30,1,5
3107,3108,3,30,5,5,12,15,5,5,20,10,1,10,7,10,1,5
7553,7554,3,30,5,10,5,15,5,5,7,10,3,5,7,10,1,10
6140,6141,8,30,3,10,5,10,1,5,20,25,3,2,15,20,3,5
2630,2631,3,30,1,10,8,20,3,2,7,10,5,10,7,10,5,5
4691,4692,8,10,1,10,12,20,1,5,15,25,5,2,7,30,1,5
916,917,15,20,5,10,12,15,3,2,7,25,5,5,7,30,1,2
5777,5778,8,10,3,10,12,15,5,2,7,15,5,10,15,20,3,10
5722,5723,8,30,3,2,8,15,3,10,20,25,1,10,7,10,1,5
3732,3733,15,10,3,2,8,20,5,5,20,15,5,2,7,10,1,10
2865,2866,8,30,1,10,12,20,5,2,15,25,1,5,7,20,3,2
5706,5707,15,10,1,5,12,10,5,10,7,15,5,5,20,30,5,2
1500,1501,3,20,3,5,12,10,3,2,20,10,1,5,7,30,1,2
2062,2063,15,30,3,5,12,10,5,5,15,15,1,5,15,30,5,2
5662,5663,8,10,3,5,8,10,3,2,7,15,5,2,15,10,1,2
1000,1001,3,30,1,10,12,10,5,5,20,10,3,10,7,10,5,2
6421,6422,8,20,1,10,5,20,5,2,7,25,5,2,15,10,1,2
399,400,3,20,5,5,12,20,3,2,7,25,1,10,15,10,5,2
6979,6980,8,20,1,5,8,10,1,5,20,10,1,10,20,30,5,2
7049,7050,3,30,3,2,5,15,5,5,7,15,1,10,15,20,5,10
1033,1034,8,20,5,2,5,15,5,5,15,10,1,5,20,20,5,5
4713,4714,8,20,3,2,8,20,3,2,15,25,5,10,7,30,1,2
5885,5886,3,20,5,5,8,10,1,2,20,25,5,5,7,30,5,5
3251,3252,15,10,1,2,8,20,3,5,20,25,3,5,15,30,5,2
5350,5351,8,30,3,5,8,10,3,10,15,10,3,2,20,30,1,5
2588,2589,8,30,5,10,8,20,1,10,15,25,5,2,20,20,5,10
2881,2882,3,20,5,5,5,15,3,2,20,25,3,5,15,20,1,2
7014,7015,3,20,1,2,5,20,3,2,15,25,3,5,20,30,5,5
3071,3072,3,20,5,10,8,15,5,10,7,15,1,2,20,20,1,2
3900,3901,8,10,5,10,5,10,3,10,7,15,1,2,7,30,5,5
5052,5053,15,30,3,10,5,10,3,2,15,15,3,5,20,10,5,10
2257,2258,15,20,1,5,5,15,1,5,15,25,1,5,15,20,3,2
2880,2881,3,30,3,2,5,10,1,5,20,25,3,10,20,30,3,2
1882,1883,3,10,3,5,12,10,5,2,7,15,5,5,15,20,3,2
208,209,15,20,1,5,8,10,5,10,7,15,3,2,20,30,5,2
6047,6048,15,30,3,2,8,20,1,10,20,25,3,5,7,30,3,10
5347,5348,15,20,1,5,8,10,1,2,20,25,5,2,15,20,1,2
7538,7539,3,30,3,2,5,20,3,10,15,25,3,5,7,10,1,10
3146,3147,8,20,1,5,5,15,1,10,20,15,5,2,15,20,5,5
4087,4088,3,20,5,5,5,15,5,10,15,15,1,5,7,30,1,2
1946,1947,15,20,1,10,12,20,1,10,15,10,1,10,20,30,3,2
3466,3467,15,10,1,2,8,10,3,2,20,10,1,10,15,10,5,10
3430,3431,3,30,3,2,8,10,3,10,7,25,3,5,7,10,1,5
6221,6222,8,10,1,10,5,15,5,2,15,10,3,5,15,30,5,5
4469,4470,3,30,5,5,8,15,1,5,15,10,1,10,15,10,5,2
7379,7380,8,30,1,10,5,10,5,5,20,15,5,5,15,20,5,5
7581,7582,8,20,3,10,12,10,5,5,7,15,3,5,20,20,5,2
4493,4494,3,20,5,2,12,10,5,2,7,10,5,10,7,30,3,2
6640,6641,8,30,5,2,8,20,1,2,20,15,3,10,15,30,3,5
3051,3052,15,20,3,5,12,10,1,2,7,10,5,2,7,20,1,10
4581,4582,8,10,3,10,5,10,1,5,15,25,5,5,15,10,1,5
3387,3388,15,30,5,10,5,15,3,2,7,15,3,10,15,30,5,5
6075,6076,3,10,3,2,8,15,5,5,20,10,3,5,7,10,5,5
5240,5241,15,20,5,5,12,10,5,2,20,25,5,5,7,30,3,5
6298,6299,8,30,3,10,5,10,5,5,15,15,1,5,20,20,1,10
6231,6232,15,10,1,2,12,20,5,10,20,25,5,10,20,20,1,5
3227,3228,3,20,3,5,12,15,1,5,20,10,1,2,20,10,3,5
7471,7472,15,20,5,2,12,15,1,5,15,15,1,2,7,10,5,2
1756,1757,3,20,5,5,8,10,5,5,7,25,3,5,20,20,5,10
6579,6580,3,30,5,5,8,10,5,5,7,25,3,10,15,10,1,10
3545,3546,15,10,5,2,8,15,1,2,7,25,5,10,20,10,1,2
6067,6068,3,30,3,10,8,10,1,10,15,10,3,5,7,30,1,5
1309,1310,15,30,5,5,8,10,5,5,15,10,3,5,20,30,1,5
629,630,3,10,3,2,8,10,5,10,7,15,5,2,15,20,5,5
740,741,15,10,1,5,5,20,3,10,20,10,1,2,20,10,5,2
1808,1809,8,10,5,5,12,15,5,10,7,10,5,2,20,20,3,10
3401,3402,3,30,1,2,12,10,5,10,20,15,1,2,7,10,5,2
6239,6240,3,30,1,5,8,10,5,10,7,25,1,10,15,10,1,2
3317,3318,8,20,1,5,8,10,5,5,20,15,5,5,7,20,5,10
7440,7441,8,30,1,10,5,15,3,5,7,10,1,5,20,30,3,5
3802,3803,3,30,5,5,8,20,3,10,15,15,3,2,7,20,1,2
3262,3263,15,30,3,5,8,15,3,10,15,25,1,2,15,10,3,5
5402,5403,8,20,1,2,12,20,5,2,20,15,5,10,7,30,5,10
3581,3582,15,30,3,5,5,20,1,2,7,10,3,10,20,10,3,10
3946,3947,8,20,1,2,8,20,3,10,20,15,5,2,7,10,3,5
4039,4040,3,30,1,2,12,15,5,5,15,15,5,5,20,30,5,5
2344,2345,3,10,3,5,5,10,1,2,15,15,5,5,20,20,5,10
4113,4114,3,30,3,10,5,20,3,5,7,25,3,5,7,20,1,2
1777,1778,8,30,1,2,12,10,3,10,15,10,1,5,20,30,5,2
4984,4985,8,10,1,5,12,20,5,10,7,15,5,5,20,10,5,2
7003,7004,3,10,5,2,8,20,1,2,7,25,1,5,7,30,5,10
4606,4607,15,10,1,5,12,10,5,2,7,25,1,5,20,20,3,2
5248,5249,8,10,3,10,8,10,5,5,20,25,1,5,7,20,5,10
2055,2056,8,10,3,2,5,20,5,2,7,15,3,5,7,30,5,2
7273,7274,8,30,5,5,12,15,1,5,7,25,3,2,15,20,3,10
4339,4340,15,20,5,10,12,20,1,2,20,25,1,10,7,10,1,5
6722,6723,3,20,1,5,5,10,5,10,15,10,1,2,7,10,5,10
3292,3293,8,20,5,5,8,10,1,10,7,10,5,10,15,10,5,10
141,142,3,10,5,10,5,20,5,5,7,15,3,10,7,10,3,2
4904,4905,15,20,5,5,5,20,5,5,15,15,5,5,20,30,5,5
137,138,8,10,1,2,12,15,1,2,15,10,5,5,20,20,1,10
5424,5425,3,20,3,2,12,20,3,2,7,10,5,5,15,20,5,2
6177,6178,8,10,1,10,12,20,5,10,7,25,1,5,20,10,3,5
1349,1350,8,30,1,10,12,10,3,10,7,10,5,5,15,10,3,5
2584,2585,3,10,3,2,12,15,1,2,15,10,5,10,20,30,3,10
4036,4037,3,30,1,10,12,10,3,10,20,10,3,10,7,30,1,2
1541,1542,3,30,5,10,12,15,1,2,7,15,1,10,7,30,3,2
2115,2116,15,30,5,10,12,10,1,10,7,10,1,5,20,10,1,10
6141,6142,8,10,5,10,8,15,1,5,20,25,5,10,15,10,1,10
4532,4533,15,30,3,5,8,15,5,2,20,25,5,5,20,20,3,10
5952,5953,8,20,5,10,5,10,5,2,20,15,3,5,15,30,5,5
5443,5444,15,30,3,5,8,10,1,10,15,25,5,10,20,30,1,5
1791,1792,8,30,3,10,8,15,1,10,7,15,5,2,7,10,3,2
2695,2696,15,10,5,10,8,20,3,2,7,10,1,5,20,10,1,2
2827,2828,15,30,3,5,8,20,5,5,20,15,5,10,7,10,5,5
1723,1724,8,10,5,10,8,10,5,5,20,25,3,2,20,30,1,5
2185,2186,3,30,5,2,5,20,1,5,7,25,1,10,20,10,5,5
5326,5327,3,30,5,2,12,20,3,10,15,10,5,5,15,30,1,10
5496,5497,15,30,3,5,8,10,1,2,15,25,3,10,7,10,5,10
2302,2303,15,20,5,2,12,10,1,5,15,10,5,2,20,10,5,5
909,910,8,10,3,10,12,10,5,10,15,15,5,5,20,10,3,10
4898,4899,15,10,5,10,8,10,3,2,7,10,5,10,20,30,5,10
2330,2331,3,10,3,2,8,20,3,2,7,15,1,10,7,20,1,5
1304,1305,8,30,1,10,12,10,1,2,20,25,5,10,7,30,5,10
6544,6545,3,10,1,5,8,15,3,10,20,25,5,2,15,10,5,5
3771,3772,8,10,1,2,8,10,3,2,15,10,1,2,20,10,1,2
93,94,8,20,5,10,12,15,5,2,7,15,1,5,15,10,5,2
6411,6412,15,10,3,2,8,10,3,5,20,25,1,10,7,20,1,2
1445,1446,3,20,5,5,8,10,5,5,7,15,5,5,20,20,5,10
1914,1915,3,20,5,2,5,20,1,5,20,15,1,2,7,20,5,5
5875,5876,15,20,1,10,12,20,1,10,7,10,5,2,20,20,1,2
6536,6537,8,30,1,5,8,10,3,2,7,15,1,2,7,10,5,10
2308,2309,8,20,5,10,8,15,1,2,20,10,3,2,20,10,1,2
2534,2535,3,10,5,5,8,10,3,10,20,15,3,5,15,30,5,10
4361,4362,3,10,3,2,5,15,1,2,20,25,3,5,15,30,5,10
7569,7570,8,20,1,2,8,15,5,5,20,25,5,5,20,30,1,2
2120,2121,8,10,5,5,8,15,3,10,7,15,5,10,15,10,1,5
5487,5488,15,20,5,2,8,15,1,5,15,10,3,2,20,10,3,10
6036,6037,3,20,3,10,8,10,5,10,7,25,3,2,20,10,5,5
7328,7329,3,20,5,5,5,20,5,5,15,15,1,2,20,20,5,10
1643,1644,8,20,1,10,5,15,5,2,15,25,1,5,20,20,1,10
5907,5908,15,20,3,2,5,10,5,10,15,15,1,5,7,30,1,10
4610,4611,15,20,3,10,5,20,1,2,20,25,5,10,15,10,5,10
4817,4818,8,20,3,2,8,10,1,5,20,15,5,10,15,30,1,10
1019,1020,8,10,5,5,8,15,5,10,20,15,5,2,20,10,5,10
1497,1498,15,30,1,2,5,20,3,2,7,25,1,2,15,30,3,5
768,769,3,20,5,10,8,20,5,10,7,15,5,2,7,20,3,2
2908,2909,8,20,5,5,8,20,5,5,20,15,3,2,15,20,3,2
5629,5630,3,30,1,10,12,10,5,10,7,15,5,5,15,10,3,5
5982,5983,15,10,5,2,12,15,5,2,15,10,3,2,15,30,1,2
4878,4879,3,20,5,10,12,15,1,5,20,15,3,5,7,20,3,5
6307,6308,3,20,1,10,12,10,1,5,7,10,3,10,7,20,1,2
7698,7699,8,20,3,5,5,15,1,2,7,25,1,10,20,20,1,2
289,290,15,10,5,10,8,20,1,2,7,25,1,10,20,10,5,2
554,555,15,10,3,10,5,10,3,2,15,10,3,2,7,10,5,10
5281,5282,8,30,3,10,12,10,5,10,20,25,5,5,7,30,5,2
7222,7223,3,20,5,5,12,15,3,5,15,25,1,2,20,30,1,10
5004,5005,3,10,5,10,5,10,1,5,20,15,5,10,20,10,3,10
1553,1554,8,10,3,10,12,20,3,10,7,15,3,5,7,30,5,5
617,618,3,10,1,10,8,20,1,2,20,15,1,10,7,30,3,2
1295,1296,8,20,3,5,8,15,5,2,7,15,5,10,7,30,1,10
1932,1933,15,20,1,5,12,10,5,2,7,15,3,5,15,30,3,10
6362,6363,8,30,3,10,5,15,3,10,7,15,1,2,20,10,3,2
6751,6752,15,10,5,5,8,15,3,5,7,25,5,5,20,30,1,10
6015,6016,3,30,1,2,5,15,3,10,7,25,1,10,20,30,1,2
4452,4453,3,20,5,10,8,15,1,2,15,25,1,2,7,10,3,10
2551,2552,8,10,3,2,8,10,3,2,15,10,5,5,20,20,3,2
5726,5727,8,30,3,5,12,20,3,10,20,10,3,5,20,20,3,2
1293,1294,8,20,3,5,12,15,5,2,20,15,1,2,7,20,5,10
5582,5583,8,20,5,10,12,20,3,2,20,10,5,5,15,30,5,5
4560,4561,15,20,1,2,8,15,1,2,15,10,1,5,15,20,5,5
2741,2742,15,20,3,2,5,15,3,2,20,25,3,5,20,20,3,10
2011,2012,15,20,1,2,12,20,3,5,15,25,1,10,7,10,3,10
5599,5600,3,10,1,5,8,10,5,5,7,10,3,10,7,30,5,10
4464,4465,8,10,5,10,5,20,5,10,7,10,5,5,20,20,1,5
3133,3134,3,30,1,5,8,20,3,10,15,25,5,5,7,10,5,10
3049,3050,15,30,5,5,8,10,1,5,15,25,3,2,20,20,3,10
6117,6118,3,10,1,5,5,10,5,5,7,10,5,2,7,10,5,5
2297,2298,3,10,5,2,12,15,5,10,15,25,3,5,7,20,3,2
7009,7010,3,10,5,5,8,20,3,5,7,25,3,2,15,20,3,2
4027,4028,3,10,5,10,5,10,1,2,7,25,5,5,7,20,1,10
4798,4799,15,30,5,2,12,10,3,10,7,10,5,2,15,20,5,2
4664,4665,3,10,5,2,5,10,5,2,20,25,5,10,20,20,5,2
994,995,3,30,3,2,8,10,5,5,15,10,3,5,7,20,3,2
597,598,8,20,3,5,12,10,3,5,7,15,3,10,15,20,3,10
1961,1962,8,10,1,5,8,15,1,2,15,15,1,5,15,10,5,5
870,871,8,30,3,5,12,15,1,10,15,10,3,5,7,30,1,5
4250,4251,15,30,1,5,8,15,5,10,20,25,1,2,7,10,5,10
3459,3460,3,10,5,5,8,10,3,10,15,15,5,2,20,10,5,10
3712,3713,8,10,1,10,8,15,5,5,15,25,1,2,7,20,5,2
6971,6972,8,30,1,5,12,15,5,2,7,15,3,5,15,20,3,5
524,525,15,30,5,2,12,20,5,2,20,15,3,2,15,20,1,10
2971,2972,3,10,5,10,8,15,3,5,15,25,5,10,7,30,5,5
5063,5064,15,30,1,5,8,20,3,2,20,25,1,5,15,20,3,2
585,586,8,20,3,10,5,10,5,2,15,15,5,2,7,30,3,5
4324,4325,3,30,5,2,8,20,3,2,15,15,3,5,15,10,5,10
6405,6406,3,30,3,2,5,20,1,10,15,25,3,10,15,10,1,5
3213,3214,3,30,5,10,12,10,1,5,15,10,5,5,7,30,3,2
1419,1420,3,20,1,2,8,15,5,5,20,15,3,2,20,30,5,2
3538,3539,8,20,5,10,8,15,1,2,20,10,3,2,20,30,5,2
5531,5532,15,20,5,2,5,20,3,2,15,25,5,5,15,10,3,5
2949,2950,8,10,3,5,8,15,5,5,7,25,1,2,7,30,1,10
7424,7425,8,10,5,2,12,20,3,5,20,10,3,10,7,10,1,2
1148,1149,15,30,5,2,5,15,1,10,20,15,5,10,15,10,3,2
3660,3661,15,10,1,5,5,15,1,10,20,10,1,2,7,20,3,5
7307,7308,3,30,3,5,8,20,5,10,7,10,1,10,15,30,3,10
1492,1493,8,20,1,10,12,20,1,5,15,25,1,10,7,30,5,5
5696,5697,15,30,3,10,12,20,3,2,7,15,1,5,7,10,3,10
7637,7638,8,10,3,10,5,15,1,10,20,25,5,2,15,10,5,2
3259,3260,15,10,1,10,8,20,1,5,7,25,1,2,20,20,5,5
2341,2342,15,30,5,5,12,15,3,2,7,10,3,2,15,30,3,10
5728,5729,15,30,3,10,8,15,1,2,15,15,1,10,20,20,3,2
2378,2379,8,30,1,5,8,15,1,5,20,25,3,2,15,30,5,5
5739,5740,15,10,1,2,8,20,3,5,20,15,1,5,7,30,5,5
1714,1715,3,20,5,2,5,15,5,5,20,25,1,10,7,10,5,10
2804,2805,8,10,3,2,5,10,5,5,7,25,1,5,20,30,3,5
307,308,8,10,1,2,12,15,5,5,15,25,1,2,20,10,1,10
924,925,15,10,5,2,5,20,1,10,7,25,3,2,15,30,5,5
7270,7271,3,30,1,2,8,15,3,2,7,15,5,2,20,30,5,2
446,447,3,30,5,2,5,15,5,2,7,10,5,2,20,10,5,10
6077,6078,3,20,3,5,8,15,3,2,7,25,1,2,15,10,3,5
4170,4171,8,30,3,2,5,15,3,10,7,15,1,5,15,10,5,2
7173,7174,3,30,1,10,12,10,5,2,20,15,5,10,15,10,1,5
1913,1914,15,10,3,5,12,20,1,10,15,25,5,2,7,10,5,5
7354,7355,8,20,5,2,12,15,3,5,20,15,5,10,20,20,1,2
4191,4192,3,10,1,5,5,10,3,10,20,10,3,5,15,10,3,5
4010,4011,15,30,3,10,5,20,1,10,7,25,5,2,7,10,5,10
714,715,15,30,5,2,5,15,3,10,15,10,5,2,20,30,5,2
1377,1378,8,10,3,10,5,15,3,5,15,25,1,10,7,20,5,5
4865,4866,3,10,3,10,5,20,1,5,7,10,1,5,20,10,3,10
5132,5133,15,30,3,2,5,10,1,10,20,25,5,10,20,10,1,5
438,439,3,20,1,2,8,20,3,10,7,10,3,10,20,20,1,2
1648,1649,3,10,1,5,8,20,1,10,7,10,5,5,7,10,1,5
7250,7251,8,20,1,10,5,20,5,10,20,25,5,2,20,20,3,2
421,422,3,10,3,2,8,15,1,10,20,25,5,2,7,20,5,5
4850,4851,8,30,1,10,12,15,3,2,15,15,1,10,7,10,3,2
6266,6267,8,10,3,5,8,20,5,10,7,15,1,2,15,10,1,5
1568,1569,15,20,3,10,5,15,1,10,20,10,1,10,7,10,1,10
1574,1575,3,30,5,2,8,20,3,5,7,25,5,10,7,20,1,2
5322,5323,3,10,5,10,8,20,1,10,15,10,1,5,7,30,3,2
1919,1920,15,30,3,10,12,15,3,10,15,10,3,2,7,30,3,10
881,882,15,10,5,5,5,10,3,10,15,10,3,10,15,10,5,10
67,68,8,30,3,10,5,10,5,10,15,25,5,5,20,10,1,5
5404,5405,15,10,1,2,5,10,1,2,20,25,3,10,15,30,1,10
6461,6462,8,30,1,2,8,20,1,2,15,25,3,5,15,20,1,10
7223,7224,3,30,1,5,8,20,3,5,15,25,5,10,15,20,5,2
1163,1164,15,10,3,5,12,15,3,10,7,25,5,5,20,20,5,5
1471,1472,15,10,1,10,12,20,3,10,15,10,3,10,7,10,5,5
6280,6281,3,10,3,2,5,15,1,10,15,10,1,2,20,10,1,10
5359,5360,3,20,5,10,12,10,1,2,7,15,5,2,20,20,3,2
3594,3595,8,10,5,5,12,15,3,5,20,25,5,2,7,30,3,5
6630,6631,15,30,3,5,8,15,3,5,15,10,5,10,15,20,1,10
5216,5217,15,20,5,2,12,10,3,5,20,15,3,5,20,30,3,10
2818,2819,15,20,5,10,8,10,1,5,15,15,5,5,15,20,1,5
3996,3997,3,10,1,5,12,20,5,5,20,25,3,2,15,30,5,10
7190,7191,3,20,3,10,8,10,1,5,20,25,3,5,20,10,1,2
4962,4963,15,20,3,5,8,15,3,5,7,25,5,2,7,20,3,2
2706,2707,3,20,1,5,8,10,3,5,20,25,5,2,20,20,5,2
5323,5324,8,10,3,2,8,20,3,2,15,25,5,5,7,10,5,5
452,453,3,20,1,5,12,20,3,10,15,25,3,5,7,30,1,2
216,217,15,20,3,10,5,10,3,10,20,15,5,10,7,10,1,2
1561,1562,15,20,3,5,8,20,3,2,15,15,3,5,15,20,5,2
3210,3211,3,10,5,5,5,15,1,2,20,25,1,2,15,20,1,5
1292,1293,3,20,3,5,12,10,1,5,15,25,3,10,7,30,5,5
4120,4121,15,10,3,2,8,20,3,2,7,10,1,10,20,10,3,2
2601,2602,15,20,1,10,12,15,5,2,7,25,3,2,15,20,3,5
2951,2952,3,20,1,2,8,10,3,10,20,25,1,2,20,10,1,10
2751,2752,15,10,1,5,8,10,5,10,15,15,5,5,20,20,3,5
2091,2092,3,20,1,10,5,15,5,5,20,10,1,5,20,30,5,10
6192,6193,3,30,3,10,8,10,5,5,20,10,3,5,20,20,5,5
1918,1919,8,20,3,5,12,20,5,5,20,10,3,10,20,10,1,10
5291,5292,8,30,3,10,12,20,5,10,15,10,1,5,15,20,5,10
4733,4734,3,10,3,10,5,20,1,2,20,25,5,10,15,10,1,2
1315,1316,8,10,1,5,5,10,1,10,15,25,1,5,7,20,1,10
5452,5453,3,20,3,2,5,10,1,10,15,25,3,10,7,20,3,5
6736,6737,8,30,3,2,5,10,1,5,7,10,5,2,7,30,5,2
4669,4670,3,30,3,5,8,20,5,5,7,15,5,5,15,10,5,2
408,409,3,10,1,5,12,20,3,10,15,10,1,5,15,30,5,10
3725,3726,3,30,3,5,12,20,1,2,15,15,3,10,7,30,1,2
2520,2521,8,20,1,5,5,20,1,5,20,10,5,2,7,20,3,2
4076,4077,15,10,5,5,8,15,1,5,15,25,5,2,7,30,1,10
4349,4350,8,30,1,5,5,10,1,10,20,15,1,10,7,20,5,10
4696,4697,8,30,1,10,5,15,1,10,15,15,1,5,7,20,1,2
5334,5335,3,20,1,10,5,20,1,5,15,10,1,2,7,20,3,10
6222,6223,15,20,5,10,8,15,3,5,20,15,5,2,15,20,5,5
4150,4151,8,10,1,5,8,15,3,5,7,10,3,10,15,30,1,2
5704,5705,3,10,5,5,5,15,5,2,15,25,5,5,7,30,3,5
751,752,8,20,5,10,12,20,5,10,7,15,5,10,15,10,5,10
180,181,3,30,5,10,5,10,1,2,15,15,1,2,20,30,3,2
7481,7482,15,30,1,10,5,20,5,2,20,25,1,2,7,30,5,2
7634,7635,3,30,3,5,12,10,5,2,20,25,5,5,7,10,3,5
7334,7335,3,30,1,10,8,10,5,10,7,15,5,5,15,10,5,5
792,793,8,10,5,10,12,15,3,10,7,10,1,10,15,20,3,10
6136,6137,15,30,1,2,12,20,1,2,7,15,1,2,7,20,5,2
4585,4586,3,20,1,5,5,10,5,10,7,15,3,10,20,10,3,5
1255,1256,3,30,5,2,5,15,5,2,20,15,1,5,7,20,3,10
3385,3386,3,20,3,5,8,20,3,5,15,25,3,10,20,10,5,5
261,262,15,20,5,5,12,10,3,2,20,15,1,5,7,20,1,5
4345,4346,8,30,1,2,8,10,1,10,7,10,5,5,7,10,3,10
73,74,8,10,1,10,12,10,5,2,7,10,3,5,15,10,5,2
392,393,15,20,5,10,12,10,5,5,20,15,1,10,20,30,5,10
4313,4314,8,20,1,5,8,20,3,5,7,15,5,10,20,10,3,2
7533,7534,15,10,3,5,12,15,3,5,20,15,3,10,20,10,3,5
1367,1368,15,30,5,10,12,10,3,10,7,15,3,2,7,30,3,10
6642,6643,3,20,5,5,12,20,1,5,7,10,5,2,7,10,3,5
2508,2509,15,10,5,5,5,15,3,10,15,15,3,5,7,20,5,5
203,204,3,20,1,2,12,15,3,2,15,15,3,10,15,20,1,2
1704,1705,3,30,3,2,8,20,1,10,7,25,3,2,7,30,5,10
1233,1234,15,30,3,10,12,10,3,5,15,25,3,5,7,30,1,10
5990,5991,8,20,3,10,12,10,3,5,20,15,5,10,20,20,3,5
4045,4046,8,10,1,2,12,10,1,2,7,15,1,5,7,30,1,5
1216,1217,3,20,3,5,8,10,1,10,7,10,1,2,15,10,5,2
5828,5829,3,10,3,5,5,20,3,5,7,10,3,5,7,20,1,2
1973,1974,15,30,1,10,12,10,3,2,7,15,3,10,15,30,1,5
4720,4721,15,30,1,5,5,10,5,5,7,25,3,10,7,20,3,5
4782,4783,8,30,3,2,12,15,3,5,7,15,5,10,20,20,5,2
3005,3006,15,30,1,10,8,15,3,5,20,10,5,10,20,30,1,10
3011,3012,3,30,5,10,5,15,5,5,15,15,5,5,15,30,3,2
7204,7205,3,30,5,2,12,20,5,10,7,15,5,5,20,20,5,5
7437,7438,15,30,1,2,8,15,5,5,20,15,3,5,15,20,3,2
4138,4139,3,20,3,2,5,10,1,10,7,15,5,10,15,30,3,10
2175,2176,8,10,3,5,12,15,1,2,7,10,5,5,20,10,5,10
3832,3833,3,30,1,5,12,15,5,5,15,25,1,5,7,20,3,5
1204,1205,8,20,1,2,8,15,1,10,15,15,3,2,20,20,1,10
1064,1065,8,20,5,10,12,10,1,10,20,10,5,5,7,30,5,2
5381,5382,3,10,3,10,5,20,3,5,15,15,5,10,15,10,3,5
4102,4103,8,20,1,10,5,15,1,10,20,15,5,2,7,10,1,2
464,465,8,20,5,10,12,20,1,5,20,10,1,10,15,10,5,2
3926,3927,3,20,3,2,5,20,3,5,20,10,3,10,7,10,1,10
7456,7457,15,10,1,2,12,15,3,5,15,10,3,10,15,30,1,2
5775,5776,15,10,1,5,12,20,1,5,20,15,1,5,15,30,3,10
3505,3506,15,30,5,2,8,10,1,10,15,25,1,5,20,10,5,2
6044,6045,3,10,3,10,5,15,3,2,20,10,5,2,7,20,1,10
1815,1816,15,20,3,10,8,15,1,10,15,15,5,10,7,20,3,2
5251,5252,8,30,5,2,12,15,3,2,15,15,1,2,15,10,3,5
3318,3319,15,20,1,5,12,15,5,10,7,25,5,5,20,20,1,5
5967,5968,3,20,1,5,12,10,1,5,20,10,3,5,20,20,1,10
6139,6140,8,10,3,5,12,15,3,2,15,15,5,10,7,10,5,10
7053,7054,15,20,1,5,12,10,1,5,7,10,3,5,20,20,5,10
1465,1466,8,30,5,10,12,20,5,5,7,15,5,2,20,30,5,10
5848,5849,15,10,5,10,12,10,1,5,7,25,5,2,20,30,1,2
7474,7475,15,30,3,5,5,10,1,5,20,15,3,5,7,10,1,5
